disbDate,count
2016-04-23,573
2016-04-25,120
2016-04-26,1552
2016-04-27,2322
2016-04-28,2294
2016-04-29,3945
2016-04-30,3655
2016-05-02,6
2016-05-03,3687
2016-05-04,986
2016-05-05,1083
2016-05-06,1386
2016-05-07,1100
2016-05-09,14
2016-05-10,1424
2016-05-11,1535
2016-05-12,1538
2016-05-13,1052
2016-05-14,1054
2016-05-16,9
2016-05-17,631
2016-05-18,1320
2016-05-19,684
2016-05-20,1803
2016-05-21,1390
2016-05-23,321
2016-05-24,5503
2016-05-25,5534
2016-05-26,6082
2016-05-27,5370
2016-05-28,3577
2016-05-30,22
2016-05-31,2470
2016-06-01,7039
2016-06-02,11282
2016-06-03,12203
2016-06-04,9872
2016-06-06,2
2016-06-07,6394
2016-06-08,5433
2016-06-09,5446
2016-06-10,5502
2016-06-11,7248
2016-06-13,1
2016-06-14,7548
2016-06-15,6431
2016-06-16,6100
2016-06-17,5312
2016-06-18,4566
2016-06-20,2
2016-06-21,4906
2016-06-22,5808
2016-06-23,6272
2016-06-24,5677
2016-06-25,5968
2016-06-27,12
2016-06-28,5694
2016-06-29,4692
2016-06-30,3528
2016-07-01,3921
2016-07-02,3175
2016-07-04,2
2016-07-05,3455
2016-07-06,2977
2016-07-07,136
2016-07-08,2140
2016-07-09,3112
2016-07-11,17
2016-07-12,2859
2016-07-13,2576
2016-07-14,2351
2016-07-15,2354
2016-07-16,2161
2016-07-19,2125
2016-07-20,1992
2016-07-21,1738
2016-07-22,2134
2016-07-23,1734
2016-07-25,1
2016-07-26,2545
2016-07-27,2382
2016-07-28,2032
2016-07-29,1907
2016-07-30,1856
2016-08-01,4
2016-08-02,2155
2016-08-03,1946
2016-08-04,1503
2016-08-05,1828
2016-08-06,1330
2016-08-09,1770
2016-08-10,1995
2016-08-11,1870
2016-08-12,1892
2016-08-13,1566
2016-08-16,916
2016-08-17,1480
2016-08-18,1389
2016-08-19,1644
2016-08-20,1335
2016-08-22,1
2016-08-23,1551
2016-08-24,1447
2016-08-25,169
2016-08-26,745
2016-08-27,848
2016-08-29,51
2016-08-30,1501
2016-08-31,1402
2016-09-01,1945
2016-09-02,1665
2016-09-03,1429
2016-09-06,452
2016-09-07,1481
2016-09-08,1486
2016-09-09,444
2016-09-10,642
2016-09-12,7
2016-09-13,28